Section,Field,Current Copy,Notes
,industry | $20K-$50K - Point 3,One investment serves your full industry AI portfolio indefinitely,
,industry | $20K-$50K - Tags,"$1M-$5M TWD, Flat Cost, No Per-Transaction Fee",TWD -> needs update
,,,
,industry | $50K-$200K - Role,Enterprise Vertical Intelligence - Multi-GPU Server,
,industry | $50K-$200K - Headline,Industry AI that satisfies the regulators who answer to no one.,
,industry | $50K-$200K - Point 1,TWD $5M-$15M multi-GPU server supports HL7 FHIR financial regulation and sector frameworks natively,TWD -> needs update
,industry | $50K-$200K - Point 2,All processing logging and reporting within your certified infrastructure perimeter,
,industry | $50K-$200K - Point 3,Audit-ready from day one - no cloud data transfer or compliance gaps,
,industry | $50K-$200K - Tags,"$5M-$15M TWD, HL7 FHIR, Audit-Ready",TWD -> needs update
,,,
,industry | $200K+ - Role,Rack-Scale Vertical AI - Enterprise Deployment,
,industry | $200K+ - Headline,Sovereign AI woven into the fabric of your operations.,
,industry | $200K+ - Point 1,TWD $15M-$60M rack deployment integrates with your full operational system landscape,TWD -> needs update
,industry | $200K+ - Point 2,CRM-native FHIR-compliant and IoT-ready across your entire vertical,
,industry | $200K+ - Point 3,No cloud middleware or vendor-managed integration layers - at enterprise scale,
,industry | $200K+ - Tags,"$15M-$60M TWD, FHIR-Compliant, IoT-Ready",TWD -> needs update
